branch,x,cp_min,cp_max,u_model
pressure,0.44713087438721805,0.24171846717042084,0.2585918596629523,0.008436696246265724
pressure,0.44961545030325817,0.24067595044259732,0.25811611504128196,0.008720082299342319
pressure,0.45210002621929823,0.23963343371477386,0.25764037041961163,0.009003468352418886
pressure,0.45458460213533836,0.23859091698695034,0.25716462579794136,0.00928685440549551
pressure,0.4570691780513785,0.23756377154639707,0.256694729088209,0.009565478770905966
pressure,0.45955375396741854,0.2375485041964775,0.2566097951901127,0.009530645496817591
pressure,0.46203832988345866,0.23753323684655792,0.25652486129201635,0.009495812222729216
pressure,0.46452290579949873,0.23751796949663834,0.25643992739392,0.009460978948640841
pressure,0.46700748171553885,0.23750270214671873,0.25635499349582364,0.009426145674552452
pressure,0.469492057631579,0.23748743479679915,0.2562700595977273,0.009391312400464077
pressure,0.47197663354761904,0.23747216744687957,0.256185125699631,0.009356479126375702
pressure,0.47446120946365916,0.23745534804367718,0.25600414970718327,0.009274400831753044
pressure,0.4769457853796992,0.2374343011081598,0.2555615711898955,0.009063635040867837
pressure,0.47943036129573935,0.23741325417264242,0.2551189926726077,0.008852869249982631
pressure,0.48191493721177947,0.23739220723712506,0.25467641415531983,0.008642103459097383
pressure,0.48439951312781954,0.23737116030160768,0.25423383563803204,0.008431337668212177
pressure,0.48688408904385966,0.23735011336609033,0.2537912571207442,0.00822057187732693
pressure,0.4893686649598998,0.23732906643057294,0.2533486786034564,0.008009806086441723
pressure,0.49185324087593985,0.23702420998573662,0.2527327850460245,0.00785428753014393
pressure,0.49433781679197997,0.23645916981201362,0.25195800409428,0.007749417141133183
pressure,0.49682239270802003,0.23589412963829062,0.25118322314253544,0.007644546752122408
pressure,0.49930696862406015,0.23532908946456763,0.25040844219079095,0.007539676363111661
pressure,0.5017915445401002,0.23476404929084463,0.2496336612390464,0.007434805974100886
pressure,0.5042761204561403,0.23419900911712163,0.24885888028730188,0.007329935585090125
pressure,0.5067606963721805,0.23363396894339863,0.24808409933555736,0.007225065196079364
pressure,0.5092452722882206,0.23268808443301778,0.2474955453267398,0.007403730446861018
pressure,0.5117298482042607,0.2316318174102108,0.24696096664553802,0.007664574617663608
pressure,0.5142144241203007,0.2305755503874039,0.24642638796433627,0.007925418788466185
pressure,0.5166990000363408,0.22951928336459693,0.24589180928313448,0.008186262959268775
pressure,0.519183575952381,0.22846301634178998,0.24535723060193268,0.008447107130071352
pressure,0.5216681518684211,0.227406749318983,0.2448226519207309,0.008707951300873956
pressure,0.5241527277844612,0.22637219806974015,0.24430705740064537,0.008967429665452609
pressure,0.5266373037005012,0.226149490984829,0.2445011857173465,0.009175847366258746
pressure,0.5291218796165413,0.22592678389991785,0.24469531403404765,0.009384265067064898
pressure,0.5316064555325815,0.2257040768150067,0.2448894423507488,0.00959268276787105
pressure,0.5340910314486216,0.22548136973009553,0.24508357066744996,0.009801100468677215
pressure,0.5365756073646617,0.22525866264518438,0.2452776989841511,0.010009518169483367
pressure,0.5390601832807017,0.22503595556027323,0.24547182730085226,0.010217935870289518
pressure,0.5415447591967418,0.22502562741505178,0.24569992120330086,0.010337146894124544
pressure,0.544029335112782,0.22558147354072605,0.2460185628821637,0.010218544670718824
pressure,0.5465139110288221,0.22613731966640035,0.24633720456102653,0.01009994244731309
